date,close,high,low,open
26.10.2015__00:00__AM,115.28,118.13,114.92,118.08
27.10.2015__00:00__AM,114.55,116.54,113.99,115.4
28.10.2015__00:00__AM,119.27,119.3,116.06,116.93
29.10.2015__00:00__AM,120.53,120.69,118.27,118.7
30.10.2015__00:00__AM,119.5,121.22,119.45,120.99
02.11.2015__00:00__AM,121.18,121.36,119.61,119.87
03.11.2015__00:00__AM,122.57,123.49,120.7,120.79
04.11.2015__00:00__AM,122.0,123.82,121.62,123.13
05.11.2015__00:00__AM,120.92,122.69,120.18,121.85
06.11.2015__00:00__AM,121.06,121.81,120.62,121.11
09.11.2015__00:00__AM,120.57,121.81,120.05,120.96
10.11.2015__00:00__AM,116.77,118.07,116.061,116.9
11.11.2015__00:00__AM,116.11,117.42,115.21,116.37
12.11.2015__00:00__AM,115.72,116.82,115.65,116.26
13.11.2015__00:00__AM,112.34,115.57,112.27,115.2
16.11.2015__00:00__AM,114.175,114.24,111.0,111.38
17.11.2015__00:00__AM,113.69,115.05,113.32,114.92
18.11.2015__00:00__AM,117.29,117.49,115.5,115.76
19.11.2015__00:00__AM,118.78,119.75,116.76,117.64
20.11.2015__00:00__AM,119.3,119.92,118.85,119.2
23.11.2015__00:00__AM,117.75,119.73,117.34,119.27
24.11.2015__00:00__AM,118.88,119.35,117.12,117.33
25.11.2015__00:00__AM,118.03,119.23,117.92,119.21
27.11.2015__00:00__AM,117.81,118.41,117.6,118.29
30.11.2015__00:00__AM,118.3,119.41,117.75,117.99
01.12.2015__00:00__AM,117.34,118.81,116.86,118.75
02.12.2015__00:00__AM,116.28,118.11,116.08,117.05
03.12.2015__00:00__AM,115.2,116.79,114.22,116.55
04.12.2015__00:00__AM,119.03,119.25,115.11,115.29
07.12.2015__00:00__AM,118.28,119.86,117.81,118.98
08.12.2015__00:00__AM,118.23,118.6,116.86,117.52
09.12.2015__00:00__AM,115.62,117.69,115.08,117.64
10.12.2015__00:00__AM,116.17,116.94,115.51,116.04
11.12.2015__00:00__AM,113.18,115.39,112.851,115.19
14.12.2015__00:00__AM,112.48,112.68,109.79,112.18
15.12.2015__00:00__AM,110.49,112.8,110.35,111.94
16.12.2015__00:00__AM,111.34,111.99,108.8,111.07
17.12.2015__00:00__AM,108.98,112.25,108.98,112.02
18.12.2015__00:00__AM,106.03,109.52,105.81,108.91
21.12.2015__00:00__AM,107.33,107.37,105.57,107.28
22.12.2015__00:00__AM,107.23,107.72,106.451,107.4
23.12.2015__00:00__AM,108.61,108.85,107.2,107.27
24.12.2015__00:00__AM,108.03,109.0,107.95,109.0
28.12.2015__00:00__AM,106.82,107.69,106.1807,107.59
29.12.2015__00:00__AM,108.74,109.43,106.86,106.96
30.12.2015__00:00__AM,107.32,108.7,107.18,108.58
31.12.2015__00:00__AM,105.26,107.03,104.82,107.01
04.01.2016__00:00__AM,105.35,105.368,102.0,102.61
05.01.2016__00:00__AM,102.71,105.85,102.41,105.75
06.01.2016__00:00__AM,100.7,102.37,99.87,100.56
07.01.2016__00:00__AM,96.45,100.13,96.43,98.68
08.01.2016__00:00__AM,96.96,99.11,96.76,98.55
11.01.2016__00:00__AM,98.53,99.06,97.34,98.97
12.01.2016__00:00__AM,99.96,100.69,98.8399,100.55
13.01.2016__00:00__AM,97.39,101.19,97.3,100.32
14.01.2016__00:00__AM,99.52,100.48,95.74,97.96
15.01.2016__00:00__AM,97.13,97.71,95.36,96.2
19.01.2016__00:00__AM,96.66,98.65,95.5,98.41
20.01.2016__00:00__AM,96.79,98.1897,93.42,95.1
21.01.2016__00:00__AM,96.3,97.88,94.94,97.06
22.01.2016__00:00__AM,101.42,101.46,98.37,98.63
